m,M,epsilon_of_M,avg_cost
0.04,0.04,0.5,0.009591545154318683
0.04,0.04,0.5,0.009558570642018881
0.04,0.04,0.5,0.009481989132015515
0.04,0.04,0.5,0.009560794021955232
0.04,0.04,0.5,0.009578651071850124
0.04,0.04,0.5,0.00948355056638563
0.04,0.04,0.5,0.00959193924608745
0.04,0.04,0.5,0.009590561578207793
0.04,0.04,0.5,0.009560424514926474
0.04,0.04,0.5,0.009512647722378663
0.05,0.05,0.5,0.009633021588861286
0.05,0.05,0.5,0.00949208850762684
0.05,0.05,0.5,0.009635495459537027
0.05,0.05,0.5,0.009604587477271494
0.05,0.05,0.5,0.009582352047299623
0.05,0.05,0.5,0.00959374336455346
0.05,0.05,0.5,0.009583944136792298
0.05,0.05,0.5,0.009451384274385325
0.05,0.05,0.5,0.009683387584919387
0.05,0.05,0.5,0.00957473717159666
0.05,0.05,0.5,0.009433890487643816
0.05,0.05,0.5,0.009545908828077676
0.05,0.05,0.5,0.009634910882992571
0.05,0.05,0.5,0.009594951415956274
0.05,0.05,0.5,0.009487920689493879
0.05,0.05,0.5,0.009685047651396037
0.05,0.05,0.5,0.00934503214059174
0.05,0.05,0.5,0.009599543936640866
0.05,0.05,0.5,0.009635576608103944
0.05,0.05,0.5,0.009619154185553293
0.06,0.06,0.5,0.00950479785939681
0.06,0.06,0.5,0.00959794704217469
0.06,0.06,0.5,0.009322004225132782
0.06,0.06,0.5,0.009696749448533356
0.06,0.06,0.5,0.009524781505292653
0.06,0.06,0.5,0.00944623850975919
0.06,0.06,0.5,0.00949885206522321
0.06,0.06,0.5,0.009610953034052003
0.06,0.06,0.5,0.009505767078869878
0.06,0.06,0.5,0.009439006766137825
0.06,0.06,0.5,0.009640716335261236
0.06,0.06,0.5,0.009636214040811952
0.06,0.06,0.5,0.009607344606096708
0.06,0.06,0.5,0.009608392385030843
0.06,0.06,0.5,0.009617578174596454
0.06,0.06,0.5,0.00960246837812807
0.06,0.06,0.5,0.009499176760185827
0.06,0.06,0.5,0.009471444153348408
0.06,0.06,0.5,0.009658041187080153
0.06,0.06,0.5,0.009683085306959065
0.07,0.07,0.5,0.00960843954466539
0.07,0.07,0.5,0.009587570212715096
0.07,0.07,0.5,0.009286665372170419
0.07,0.07,0.5,0.009486611984965058
0.07,0.07,0.5,0.009524874357322624
0.07,0.07,0.5,0.009598556518769752
0.07,0.07,0.5,0.009657515194160044
0.07,0.07,0.5,0.009605225472420873
0.07,0.07,0.5,0.009574820987179626
0.07,0.07,0.5,0.009636394903459656
0.07,0.07,0.5,0.009654912201171345
0.07,0.07,0.5,0.009614718193699459
0.07,0.07,0.5,0.009724231292003978
0.07,0.07,0.5,0.009460233157683023
0.07,0.07,0.5,0.009327315676235723
0.07,0.07,0.5,0.009451673535454822
0.07,0.07,0.5,0.009656500120029112
0.07,0.07,0.5,0.009636811009486575
0.07,0.07,0.5,0.009610297710948285
0.07,0.07,0.5,0.009669683238771588
0.08,0.08,0.5,0.009727086218013319
0.08,0.08,0.5,0.009593607578634242
0.08,0.08,0.5,0.009343661968054306
0.08,0.08,0.5,0.009614379033845223
0.08,0.08,0.5,0.009523895895685279
0.08,0.08,0.5,0.009633683777443646
0.08,0.08,0.5,0.009414993516894163
0.08,0.08,0.5,0.009550408802128221
0.08,0.08,0.5,0.009581881464719798
0.08,0.08,0.5,0.009660057003042417
0.08,0.08,0.5,0.00931117260541025
0.08,0.08,0.5,0.009600749871326211
0.08,0.08,0.5,0.009615654373637874
0.08,0.08,0.5,0.009514676632195608
0.08,0.08,0.5,0.009552030371101918
0.08,0.08,0.5,0.009621941710373986
0.08,0.08,0.5,0.00968023754167037
0.08,0.08,0.5,0.009388308574783179
0.08,0.08,0.5,0.009453043273470997
0.08,0.08,0.5,0.009575540486852782
0.09,0.09,0.5,0.00965532240060311
0.09,0.09,0.5,0.009535382468469876
0.09,0.09,0.5,0.00929162242521036
0.09,0.09,0.5,0.009609600163130253
0.09,0.09,0.5,0.009605539671549385
0.09,0.09,0.5,0.00953054841239446
0.09,0.09,0.5,0.009630495644642129
0.09,0.09,0.5,0.009496880982113716
0.09,0.09,0.5,0.009635690113694733
0.09,0.09,0.5,0.009694607731520205
0.09,0.09,0.5,0.009633401549952658
0.09,0.09,0.5,0.009599091506659819
0.09,0.09,0.5,0.009555471684974781
0.09,0.09,0.5,0.009536580686939983
0.09,0.09,0.5,0.00961260143255057
0.09,0.09,0.5,0.00946871705558906
0.09,0.09,0.5,0.009583353809431037
0.09,0.09,0.5,0.0096129901504129
0.09,0.09,0.5,0.00963239300980589
0.09,0.09,0.5,0.009620589455044869
0.1,0.1,0.5,0.009620573802121413
0.1,0.1,0.5,0.009734366278808537
0.1,0.1,0.5,0.009563598114279726
0.1,0.1,0.5,0.00961817814496123
0.1,0.1,0.5,0.009678772380653244
0.1,0.1,0.5,0.00971712051673487
0.1,0.1,0.5,0.009579299134700197
0.1,0.1,0.5,0.009639133341453917
0.1,0.1,0.5,0.009637183758875272
0.1,0.1,0.5,0.009499943656041416
0.1,0.1,0.5,0.009511068766585614
0.1,0.1,0.5,0.009698354638479621
0.1,0.1,0.5,0.009551014386012786
0.1,0.1,0.5,0.009553620095602657
0.1,0.1,0.5,0.00964264864387659
0.1,0.1,0.5,0.00968762321557636
0.1,0.1,0.5,0.009549203940644098
