m,M,epsilon_of_M,avg_cost
0.07,0.07,2,0.008617653661299116
0.07,0.07,2,0.00877246875796151
0.07,0.07,2,0.008424522360320747
0.07,0.07,2,0.008450742947258312
0.08,0.08,2,0.00814404717445125
0.08,0.08,2,0.008365373654308155
0.08,0.08,2,0.008609117132390494
0.08,0.08,2,0.008243520233438884
0.08,0.08,2,0.008743517954418465
0.08,0.08,2,0.008495799618610583
0.08,0.08,2,0.008399507288663783
0.08,0.08,2,0.008438913929036222
0.08,0.08,2,0.008651308364547472
0.08,0.08,2,0.008269285302169437
0.08,0.08,2,0.008416477718179568
0.08,0.08,2,0.008073401167798078
0.08,0.08,2,0.008402069840802684
0.08,0.08,2,0.0084503259094625
0.08,0.08,2,0.008368147585199374
0.08,0.08,2,0.008582133503620255
0.08,0.08,2,0.008508621381976588
0.08,0.08,2,0.007802618292041256
0.08,0.08,2,0.008273276481739453
0.08,0.08,2,0.00815739909213562
0.09,0.09,2,0.008185136879659617
0.09,0.09,2,0.007983419981128326
0.09,0.09,2,0.008305711762241586
0.09,0.09,2,0.008739995472955182
0.09,0.09,2,0.008160038718603617
0.09,0.09,2,0.008327027692040977
0.09,0.09,2,0.008515973007448375
0.09,0.09,2,0.00850872437411271
0.09,0.09,2,0.00799947683840323
0.09,0.09,2,0.008379782132346138
0.09,0.09,2,0.008100951066352417
0.09,0.09,2,0.008171968106102481
0.09,0.09,2,0.00867679419050574
0.09,0.09,2,0.008393696240818174
0.09,0.09,2,0.008974577878667742
0.09,0.09,2,0.00892735211507147
0.09,0.09,2,0.008365083594352484
0.09,0.09,2,0.008273949205345334
0.09,0.09,2,0.008926734164465946
0.09,0.09,2,0.00831491486423385
0.1,0.1,2,0.007724615323712585
0.1,0.1,2,0.00880434205682288
0.1,0.1,2,0.008467139206757648
0.1,0.1,2,0.007923466389701341
0.1,0.1,2,0.008412041925527936
0.1,0.1,2,0.008576289571929026
0.1,0.1,2,0.008405795201752463
0.1,0.1,2,0.008416781635213321
0.1,0.1,2,0.00892611595703657
0.1,0.1,2,0.008186918069992121
0.1,0.1,2,0.008452677672603869
0.1,0.1,2,0.008702812400469644
0.1,0.1,2,0.008240856538850642
0.1,0.1,2,0.008560487216861245
0.1,0.1,2,0.008241148083181413
0.1,0.1,2,0.00845111341626035
0.1,0.1,2,0.008180855912013235
0.1,0.1,2,0.008365563169957423
