m,M,epsilon_of_M,stat_avg_cost
0.86,0.86,1.7287705667477347,0.0814239240861214
0.87,0.87,1.7901187274087527,0.08577542742559006
0.88,0.88,1.857236704193364,0.08313026615010306
0.89,0.89,1.9311541118777815,0.08923069892874665
0.9,0.9,2.013196593022799,0.11276453972648467
0.91,0.91,2.105111008564643,0.14491133741019496
0.92,0.92,2.2092646795037814,0.13695924153781325
0.93,0.93,2.3289783780635105,0.17816044222336969
0.94,0.94,2.46911775683092,0.19599087111287658
0.95,0.95,2.637228902918808,0.27473361641892624
0.96,0.96,2.845957193251089,0.30206979799959843
0.97,0.97,3.11901316191321,0.4418697781790387
0.98,0.98,3.5096350640326874,0.5677214731900502
0.99,0.99,4.187715394070091,inf
0.1,0.2,,
0.1,0.3,,
0.1,0.4,,
0.1,0.5,,
0.1,0.6,,
0.1,0.7,,
0.1,0.8,,
0.1,0.9,,
0.2,0.3,0.0,
0.2,0.4,,
0.2,0.5,,
0.2,0.6,,
0.2,0.7,,
0.2,0.8,,
0.2,0.9,,
0.3,0.4,0.26410685686598373,0.014518051421229587
0.3,0.5,,
0.3,0.6,,
0.3,0.7,,
0.3,0.8,,
0.3,0.9,,
0.4,0.5,0.4498333340802197,0.01783802799230209
0.4,0.6,0.0,
0.4,0.7,,
0.4,0.8,,
0.4,0.9,,
0.5,0.6,0.6059517194651038,0.0209222903172119
0.5,0.7,0.17975338014646938,0.023245924108571105
0.5,0.8,,
0.5,0.9,,
0.6,0.7,0.7274341065221323,0.026708917207157297
0.6,0.8,,
0.6,0.9,,
0.7,0.8,0.5,0.03824271850884258
0.7,0.9,,
0.8,0.9,0.0,
