m,M,epsilon_of_M,avg_cost
0.02,0.02,1,0.009677271717533886
0.02,0.02,1,0.00932069412471019
0.02,0.02,1,0.00923372497942699
0.02,0.02,1,0.009519949865360632
0.02,0.02,1,0.009197296778027395
0.02,0.02,1,0.009268180729811762
0.03,0.03,1,0.009238287263140415
0.03,0.03,1,0.009502416884201673
0.03,0.03,1,0.00955210816468949
0.03,0.03,1,0.009524802877209535
0.03,0.03,1,0.009216309116830575
0.03,0.03,1,0.009355636789046244
0.03,0.03,1,0.009696945023788124
0.03,0.03,1,0.0094148816181773
0.03,0.03,1,0.009091548323330796
0.03,0.03,1,0.00976442221865188
0.03,0.03,1,0.009809219995377752
0.03,0.03,1,0.009367832057998189
0.03,0.03,1,0.009316361047369737
0.03,0.03,1,0.009501264703527872
0.03,0.03,1,0.009106099957297754
0.03,0.03,1,0.009460624234701996
0.03,0.03,1,0.00974415567814273
0.03,0.03,1,0.009562182925751705
0.03,0.03,1,0.009183266939052914
0.03,0.03,1,0.009420864953506023
0.04,0.04,1,0.009184275093210483
0.04,0.04,1,0.009055960587984479
0.04,0.04,1,0.009797268209419459
0.04,0.04,1,0.009696538573259543
0.04,0.04,1,0.009927891481526984
0.04,0.04,1,0.009610440781086976
0.04,0.04,1,0.008944816971661175
0.04,0.04,1,0.009415289930285156
0.04,0.04,1,0.009619499528037877
0.04,0.04,1,0.009343106450718399
0.04,0.04,1,0.009313613253984892
0.04,0.04,1,0.010059358089350282
0.04,0.04,1,0.010313956825151103
0.04,0.04,1,0.009829531411114608
0.04,0.04,1,0.009611829454590395
0.04,0.04,1,0.009676688807392048
0.04,0.04,1,0.009763476416195656
0.04,0.04,1,0.0097758157634933
0.04,0.04,1,0.009467938416349856
0.04,0.04,1,0.009877286925269872
0.05,0.05,1,0.010153640442872739
0.05,0.05,1,0.00995781183647399
0.05,0.05,1,0.009291204397991295
0.05,0.05,1,0.009903650560176525
0.05,0.05,1,0.009606181531814986
0.05,0.05,1,0.009336983812209484
0.05,0.05,1,0.010102840452194976
0.05,0.05,1,0.009926381593387568
0.05,0.05,1,0.009507020156567472
0.05,0.05,1,0.009197966096014781
0.05,0.05,1,0.009447949817384105
0.05,0.05,1,0.009783555982345801
0.05,0.05,1,0.009624697975095983
0.05,0.05,1,0.00966911907662076
0.05,0.05,1,0.009910861976392484
0.05,0.05,1,0.00950617951590338
0.05,0.05,1,0.009865462939148126
0.05,0.05,1,0.009418042078811388
0.05,0.05,1,0.009588302579165962
0.05,0.05,1,0.009139534066124255
0.06,0.06,1,0.009945021969679025
0.06,0.06,1,0.0094809602324615
0.06,0.06,1,0.009893862994485707
0.06,0.06,1,0.009459566086476736
0.06,0.06,1,0.010191715579798154
0.06,0.06,1,0.009749820731062824
0.06,0.06,1,0.010132171493739305
0.06,0.06,1,0.009724145600323832
0.06,0.06,1,0.010235559633004914
0.06,0.06,1,0.009072678425696205
0.06,0.06,1,0.00975090072489004
0.06,0.06,1,0.009713436570902807
0.06,0.06,1,0.009672510176596882
0.06,0.06,1,0.009068834202285927
0.06,0.06,1,0.009560931500111341
0.06,0.06,1,0.00977646424231863
0.06,0.06,1,0.009685679158646677
0.06,0.06,1,0.009435812453520747
0.06,0.06,1,0.009531668131014028
0.06,0.06,1,0.009948182886872324
0.07,0.07,1,0.010310051501309333
0.07,0.07,1,0.009444417701946409
0.07,0.07,1,0.009746512093358523
0.07,0.07,1,0.009791159822000265
0.07,0.07,1,0.010630467316232664
0.07,0.07,1,0.010197105228310136
0.07,0.07,1,0.009842496610492288
0.07,0.07,1,0.009871058810473069
