m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.4,0.6,-5.146315107229062e-06,-3.3601066490460186e-06,-5.132214571660014e-06
0.4,0.7,-2.5748217130450043e-06,-2.4797458438674114e-06,-2.590590812254701e-06
0.4,0.8,-6.119862000325523e-06,,-6.063661888443068e-06
0.4,0.9,-6.323497284541893e-06,,-6.169701564050583e-06
0.5,0.6,-3.3462417156336294e-06,-1.0505319153837105e-05,-3.3700530184684518e-06
0.5,0.7,-1.4282420742350827e-05,-6.537237708947339e-06,-1.4272375075039075e-05
0.5,0.8,-5.636746253953252e-06,-7.260811529788752e-06,-5.6055553527052845e-06
0.5,0.9,-1.881898712881833e-05,,-1.8762680794744754e-05
0.6,0.7,-2.0277712693650256e-05,-1.8004741070490366e-05,-2.0271109873472584e-05
0.6,0.8,-4.103157378149924e-05,-1.365934324725333e-05,-4.1080717520167135e-05
0.6,0.9,-3.272988271841402e-05,,-3.264497314969715e-05
0.7,0.8,-4.951885778965121e-05,-4.1427394046821236e-05,-4.9531878431520426e-05
0.7,0.9,-6.026680975368512e-05,,-6.028648781176762e-05
0.8,0.9,-0.0002662200052277519,-0.00023175555603885186,-0.0002662134184132697
