m,M,epsilon_of_M,avg_cost
0.03,0.03,0.25,0.010219374929405407
0.03,0.03,0.25,0.010120807749340181
0.03,0.03,0.25,0.009915226538512668
0.04,0.04,0.25,0.0098805662570745
0.04,0.04,0.25,0.010138665555304023
0.04,0.04,0.25,0.010459470669430815
0.04,0.04,0.25,0.010427766363658999
0.04,0.04,0.25,0.010127649820657964
0.04,0.04,0.25,0.010344680300300637
0.04,0.04,0.25,0.010205895730206313
0.04,0.04,0.25,0.010398234014614318
0.04,0.04,0.25,0.010193333836272243
0.04,0.04,0.25,0.009873395025954938
0.04,0.04,0.25,0.010162532265725594
0.04,0.04,0.25,0.010232974209149415
0.04,0.04,0.25,0.010021373751281358
0.04,0.04,0.25,0.010188313995271732
0.04,0.04,0.25,0.010393037653527013
0.04,0.04,0.25,0.010178127229224666
0.04,0.04,0.25,0.010192377102780882
0.04,0.04,0.25,0.010383236718600216
0.04,0.04,0.25,0.010182601113548673
0.04,0.04,0.25,0.010302494841981931
0.05,0.05,0.25,0.010165366376130825
0.05,0.05,0.25,0.010206016066179196
0.05,0.05,0.25,0.010672987879604103
0.05,0.05,0.25,0.010119206431359995
0.05,0.05,0.25,0.010212562521657607
0.05,0.05,0.25,0.011320236135629318
0.05,0.05,0.25,0.01039083905119246
0.05,0.05,0.25,0.010319796985560566
0.05,0.05,0.25,0.010264694180649384
0.05,0.05,0.25,0.010563118306953593
0.05,0.05,0.25,0.010145692745549972
0.05,0.05,0.25,0.010686577353394172
0.05,0.05,0.25,0.01017875269567797
0.05,0.05,0.25,0.010614496714067057
0.05,0.05,0.25,0.010173198768344258
0.05,0.05,0.25,0.00998973453576027
0.05,0.05,0.25,0.010329341984644707
0.05,0.05,0.25,0.010025931729397192
0.05,0.05,0.25,0.010092576117993827
0.05,0.05,0.25,0.01010117789771816
0.06,0.06,0.25,0.011002893741124693
0.06,0.06,0.25,0.011073744101638193
0.06,0.06,0.25,0.010459726651799072
0.06,0.06,0.25,0.010212942756333394
0.06,0.06,0.25,0.01017189853483978
0.06,0.06,0.25,0.010282968702402603
0.06,0.06,0.25,0.010457951087391776
0.06,0.06,0.25,0.01032364717189596
0.06,0.06,0.25,0.010632368337312752
0.06,0.06,0.25,0.010629404914850652
0.06,0.06,0.25,0.010405192501379645
0.06,0.06,0.25,0.010164981951495339
0.06,0.06,0.25,0.010288430181043254
0.06,0.06,0.25,0.010182385253451012
0.06,0.06,0.25,0.010458481280117699
0.06,0.06,0.25,0.010376329473874624
0.06,0.06,0.25,0.010607676737148434
0.06,0.06,0.25,0.010318622718062614
0.06,0.06,0.25,0.01050511999504221
0.06,0.06,0.25,0.010542676587739453
0.07,0.07,0.25,0.01055702025967051
0.07,0.07,0.25,0.0104449008860558
0.07,0.07,0.25,0.010543008534355953
0.07,0.07,0.25,0.010067607842093974
0.07,0.07,0.25,0.010949847512949955
0.07,0.07,0.25,0.0106012810911049
0.07,0.07,0.25,0.01083548271239768
0.07,0.07,0.25,0.010400815277210302
0.07,0.07,0.25,0.011092989457317327
0.07,0.07,0.25,0.010591713877792895
0.07,0.07,0.25,0.010445069351897466
0.07,0.07,0.25,0.01052938969542705
0.07,0.07,0.25,0.010427653963854241
0.07,0.07,0.25,0.010891895083250594
0.07,0.07,0.25,0.010575397245575793
0.07,0.07,0.25,0.01069818420425967
0.07,0.07,0.25,0.010814160754017615
0.07,0.07,0.25,0.010543264778774248
0.07,0.07,0.25,0.010771666334054067
0.07,0.07,0.25,0.010706511712015653
0.08,0.08,0.25,0.010126777329360261
0.08,0.08,0.25,0.010025182948874146
0.08,0.08,0.25,0.010682914646611513
0.08,0.08,0.25,0.010354087159175253
0.08,0.08,0.25,0.010767540398049977
0.08,0.08,0.25,0.01048998452901029
0.08,0.08,0.25,0.011060958954536
0.08,0.08,0.25,0.01069165947370107
0.08,0.08,0.25,0.01102150881870214
0.08,0.08,0.25,0.010375440638058713
0.08,0.08,0.25,0.011073844275931272
0.08,0.08,0.25,0.010618072270694976
0.08,0.08,0.25,0.010558232711002776
0.08,0.08,0.25,0.011140503073307488
0.08,0.08,0.25,0.010702427814737603
0.08,0.08,0.25,0.011185148803010444
0.08,0.08,0.25,0.011034965375035
0.08,0.08,0.25,0.010451978492982888
0.08,0.08,0.25,0.010556993497521714
0.08,0.08,0.25,0.01077141013379012
0.09,0.09,0.25,0.010650621790667709
