m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.47,0.47,-0.009257124733438598,-0.008976015469477098,-0.009080312519104398
0.48,0.48,-0.009960343409216999,-0.008902374850387801,-0.009773249786588199
0.49,0.49,-0.0094940162019726,-0.0091699043657067,-0.0093231299603003
0.5,0.5,-0.009575119562366301,-0.0097182583541185,-0.0094154004133654
0.51,0.51,-0.0109570248008846,-0.010730788443867502,-0.010776289086393498
0.52,0.52,-0.0105895458068136,-0.009994752848408998,-0.010394063558635402
0.53,0.53,-0.0114528779951282,-0.010161766686147098,-0.011231855692077401
0.54,0.54,-0.0115044746230423,-0.0124075092510994,-0.0112244703122403
0.55,0.55,-0.012822369797745599,-0.012262585329213798,-0.0126081328252445
0.56,0.56,-0.0131256256395278,-0.012417890719200499,-0.0129161575093166
0.57,0.57,-0.0119541912440497,-0.0131820762399694,-0.0117413587299306
0.58,0.58,-0.0128307745016797,-0.013675407474573102,-0.012624607670718598
0.59,0.59,-0.015184900962642202,-0.0148602887782567,-0.014965240782327902
0.6,0.6,-0.015348884285502,-0.014816818110842598,-0.015115479368089501
0.61,0.61,-0.0158632717626822,-0.014199139006355799,-0.015625620452351198
0.62,0.62,-0.0167527999411047,-0.0159939106885248,-0.016505017410096003
0.63,0.63,-0.017951140603647598,-0.0174950919786173,-0.017695516393347696
0.64,0.64,-0.020163425416826704,-0.0182344535384441,-0.0199228304329454
0.65,0.65,-0.0210744180064267,-0.0167761085867045,-0.0207876120546635
0.66,0.66,-0.0209829265231457,-0.019930589271074696,-0.020722602463311902
0.67,0.67,-0.0244828316336497,-0.021286629327529602,-0.024227881708186797
0.68,0.68,-0.022712798454385202,-0.022281138191661103,-0.0224321585700964
0.69,0.69,-0.025498834387947103,-0.0205040244158594,-0.025167389354376804
0.7,0.7,-0.0243942779818998,-0.027143722657237104,-0.0241168155102315
0.71,0.71,-0.026281937575693904,-0.0226226413564567,-0.025990098712015804
0.72,0.72,-0.026675830740176695,-0.026896835394332,-0.026383828864019496
0.73,0.73,-0.0284490132477833,-0.024808359287232202,-0.028148740137347097
0.74,0.74,-0.0311309273022687,-0.030031355256446596,-0.030854603909963203
0.75,0.75,-0.0318757222083342,-0.029289089055869195,-0.0315235138327284
0.76,0.76,-0.0333491691094552,-0.0320834338014157,-0.033060529976356404
0.77,0.77,-0.034360217358429,-0.034733156260131896,-0.034013108133338
0.78,0.78,-0.0375078838241783,-0.0332824757146838,-0.0371993074704963
0.79,0.79,-0.0407598944992841,-0.0420628680505306,-0.0404442517952689
0.8,0.8,-0.045120831126990696,-0.041145586017741,-0.0448015294957569
0.81,0.81,-0.047315517306356504,-0.0429751995337979,-0.0470028183070759
0.82,0.82,-0.042252471233030504,-0.048794459396027404,-0.0419300543483693
0.83,0.83,-0.0484723779426626,-0.051490757820694,-0.0481336404626532
0.84,0.84,-0.0576975312398528,-0.0494367130671541,-0.057364373448997
0.85,0.85,-0.0698166635220354,-0.0576873631401129,-0.0694563063482159
0.86,0.86,-0.0589355060194789,-0.0718558914043843,-0.058580231950616506
0.87,0.87,-0.0731459331373269,-0.076158531934563,-0.07282948113162879
0.88,0.88,-0.0780408214246892,-0.0735572379707829,-0.077680087770196
0.89,0.89,-0.0861184829018931,-0.07966322196883291,-0.08574494960230389
0.9,0.9,-0.09878274122635519,-0.1032096067269217,-0.0983929553342095
0.91,0.91,-0.1144903980969334,-0.1353553805719469,-0.11409770577781041
0.92,0.92,-0.1247364066095508,-0.1273997360104159,-0.12434097838351411
0.93,0.93,-0.14465128090268028,-0.1686023278981336,-0.14424958402979018
0.94,0.94,-0.22813097253019968,-0.1864385353765131,-0.22771363920356988
0.95,0.95,-0.215214460915528,-0.2651824450662908,-0.2147949900058883
0.96,0.96,-0.3294337781544777,-0.2924877419880993,-0.3290402754336496
0.97,0.97,-0.3600993980364459,-0.43233498648853363,-0.3596497739547297
0.98,0.98,-inf,-0.5581500675957696,-inf
0.99,0.99,-inf,-inf,-inf
0.1,0.2,-0.0015711403819422994,,-0.0022352889696625987
0.1,0.3,-0.0021238522928274,,-0.0034359944355693006
0.1,0.4,-0.0024774662046553007,,-0.0043900912344824
0.1,0.5,-0.003046058474560801,,-0.005702839944158001
0.1,0.6,-0.0039688603753726005,,-0.0071015903727164
0.1,0.7,-0.0042799825891414005,,-0.0079702940426588
0.1,0.8,-0.0051437868534295,,-0.009086119936885899
0.1,0.9,-0.006012803473203,,-0.010746535933583198
0.2,0.3,-0.0031621478482416997,,-0.0035106401473347995
0.2,0.4,-0.0037431905027622003,,-0.0043664178179609
0.2,0.5,-0.0046250373855766,,-0.005509925530851599
0.2,0.6,-0.005095074623841601,,-0.006499170114788901
0.2,0.7,-0.005647441305148999,,-0.007216656371883099
0.2,0.8,-0.006817590029787098,,-0.0088126188921263
0.2,0.9,-0.0073530119503698015,,-0.010031302816356
0.3,0.4,-0.004949823318809299,-0.005005279401335799,-0.005076562408790199
0.3,0.5,-0.005897990275072701,,-0.006312374721927
0.3,0.6,-0.0067143557738582,,-0.007301441099958599
0.3,0.7,-0.0080726483404586,,-0.0090189350938351
0.3,0.8,-0.008989682593030499,,-0.010041299494659399
0.3,0.9,-0.0103571322120407,,-0.012382601740109401
0.4,0.5,-0.007374869899839201,-0.008254394492356201,-0.007438693395839101
0.4,0.6,-0.0091381934526105,,-0.0093166976302065
0.4,0.7,-0.010295642619185702,,-0.010741426086946901
