m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.49,0.49,-0.010080683506425601,-0.008506235957088699,-0.009819246884224501
0.5,0.5,-0.0108452397521415,-0.010551283885795399,-0.010405573863948801
0.51,0.51,-0.0103062858244925,-0.009957377518887998,-0.0100379530903997
0.52,0.52,-0.011341750351532297,-0.0107167874940019,-0.011043748723792799
0.53,0.53,-0.010954104994669102,-0.011034671791720902,-0.010571629094599501
0.54,0.54,-0.012673209098346,-0.011477318841936302,-0.012393618845509099
0.55,0.55,-0.012994750122127901,-0.012117579388221,-0.0127357668763427
0.56,0.56,-0.012502424557410902,-0.0146452305956439,-0.012156089665843401
0.57,0.57,-0.013087770595082199,-0.012198174925301298,-0.0126972851358217
0.58,0.58,-0.0137880105734507,-0.013420842174600899,-0.0134495876865227
0.59,0.59,-0.0141860864560072,-0.014514280153568601,-0.0137542540432381
0.6,0.6,-0.014679563711986098,-0.015117579636928499,-0.014267121168400598
0.61,0.61,-0.0155474907531786,-0.0142742168642294,-0.0151343037287439
0.62,0.62,-0.017458123357983298,-0.014963747115585901,-0.0170069217835696
0.63,0.63,-0.0162720845823027,-0.0176555390760569,-0.0158578073610456
0.64,0.64,-0.0192008369896792,-0.0178565488796446,-0.0187957151971491
0.65,0.65,-0.0208606435732696,-0.0180781878311683,-0.0204707764774417
0.66,0.66,-0.019983753642386796,-0.0187000718508819,-0.0194936884766704
0.67,0.67,-0.021204932064142,-0.019982788685709497,-0.0208141485534057
0.68,0.68,-0.0220194660722259,-0.025353946055691995,-0.0215635405163233
0.69,0.69,-0.0218174649255417,-0.022144377038589604,-0.021296884543738
0.7,0.7,-0.0236092654234921,-0.0234424179003559,-0.0231567079794534
0.71,0.71,-0.0248918514220071,-0.024079511953199,-0.024356007961345197
0.72,0.72,-0.0266561290118466,-0.026231961752156502,-0.0261505024645918
0.73,0.73,-0.027321844722472597,-0.025184843253966197,-0.026794178669649997
0.74,0.74,-0.027790960921376902,-0.0296221751992762,-0.027294616470080003
0.75,0.75,-0.0303663305663139,-0.032789678820143206,-0.029838172758398798
0.76,0.76,-0.0334122842201888,-0.0313582751757199,-0.032895026269402196
0.77,0.77,-0.0362502234329375,-0.0315513395549506,-0.0357197515679119
0.78,0.78,-0.0408286827983258,-0.034491389241829803,-0.040295296228406094
0.79,0.79,-0.0363199261778148,-0.039317821764359204,-0.0358002627185854
0.8,0.8,-0.0421913028587742,-0.043926818822174696,-0.0415682112003269
0.81,0.81,-0.0427067983323042,-0.0422741036013878,-0.0421393953882592
0.82,0.82,-0.051251277425573505,-0.046167434028883604,-0.050685688260258405
0.83,0.83,-0.0507032228219842,-0.054004706919970794,-0.050037818174949206
0.84,0.84,-0.0544486791169048,-0.05410938142940681,-0.0537959468242096
0.85,0.85,-0.05764354435283389,-0.06307211126039569,-0.056979374735130296
0.86,0.86,-0.06371298950025919,-0.0679986022208148,-0.0630515182327405
0.87,0.87,-0.0621934497723724,-0.0853123331952319,-0.0615657687360751
0.88,0.88,-0.08785652040365119,-0.07461748988176689,-0.08716156226375049
0.89,0.89,-0.0961397855270638,-0.079199848934649,-0.0954441858690786
0.9,0.9,-0.1187766965508431,-0.1031622994979343,-0.1180460942500306
0.91,0.91,-0.09680667911241779,-0.143928273349685,-0.0959677011686374
0.92,0.92,-0.1576438251301935,-0.1738904603809717,-0.1568955646064313
0.93,0.93,-0.1307556573403577,-0.14841053154929001,-0.12999782356410872
0.94,0.94,-0.1848683784722188,-0.2470545579403063,-0.1841575013335666
0.95,0.95,-0.2387679635413128,-inf,-0.2379873136578396
0.96,0.96,-0.3140653334673808,-0.3191259738234776,-0.3132323768061492
0.97,0.97,-inf,-inf,-inf
0.98,0.98,-inf,-inf,-inf
0.99,0.99,-inf,-inf,-inf
0.1,0.2,-0.001623467699553599,,-0.0023985050936605
0.1,0.3,-0.002068564312703301,,-0.0034061618230926006
0.1,0.4,-0.0027642537052084987,,-0.004592299418618599
0.1,0.5,-0.0032399748190166007,,-0.0055099724515663
0.1,0.6,-0.0036144395297419,,-0.0064381759984534
