m,M,epsilon_of_M,stat_avg_cost
0.4,0.7,2.0,0.008450161647081855
0.4,0.8,2.0,0.008402657980634881
0.4,0.9,2.0,0.008279927717076916
0.5,0.6,2.0,0.008346941939255028
0.5,0.7,2.0,0.008370623987894385
0.5,0.8,2.0,0.008235397439841224
0.5,0.9,2.0,0.008477905577252708
0.6,0.7,2.0,0.00839565416034901
0.6,0.8,2.0,0.00829430815168954
0.6,0.9,2.0,0.008335125708679909
0.7,0.8,2.0,0.008416978706324232
0.7,0.9,2.0,0.008329815579745863
0.8,0.9,2.0,0.008363170825361022
