m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.69,0.69,-0.09950568708855356,-0.06631348995822667,-0.04126621476741127
0.7,0.7,-0.0998010230839359,-0.0672382058579527,-0.038661478462781285
0.71,0.71,-0.10839535724360339,-0.07512077548748708,-0.04106149550870852
0.72,0.72,-0.1067967762110516,-0.0719067552768588,-0.045609068997718105
0.73,0.73,-0.11304683185961156,-0.07762747460139197,-0.04699731901328308
0.74,0.74,-0.12020907220386678,-0.0750556240225394,-0.054908550765351005
0.75,0.75,-0.12216362934670122,-0.07577651559746512,-0.05542776995985249
0.76,0.76,-0.122547369969359,-0.07780510647960204,-0.05367349517290648
0.77,0.77,-0.1448229374315731,-0.0831824488137114,-0.06869630551708072
0.78,0.78,-0.14168802509808393,-0.0828894862972312,-0.06930673690605893
0.79,0.79,-0.15334294504156143,-0.0843303339800674,-0.07888638941303011
0.8,0.8,-0.15692098799472948,-0.08793822162746318,-0.07795615678627471
0.81,0.81,-0.17474039403536368,-0.09179155845453019,-0.09269439861557327
0.82,0.82,-0.19040047115284858,-0.09198432629719122,-0.10912030902591086
0.83,0.83,-0.2040735451380471,-0.0955129590030645,-0.12034969136133572
0.84,0.84,-0.23100794326141733,-0.10165570386283412,-0.14588462212483194
0.85,0.85,-0.24744441798332212,-0.10622983071160508,-0.15561049355106693
0.86,0.86,-0.2890076265588948,-0.11521059168291403,-0.19722060908574457
0.87,0.87,-0.2989679465786685,-0.12019327701204169,-0.19471941654546682
0.88,0.88,-0.35884726096857983,-0.13622096994121952,-0.25277987192917595
0.89,0.89,-0.3890721687765065,-0.1445213703530454,-0.2734739661035274
0.9,0.9,-0.5002109476349265,-0.15888540163888243,-0.3731867804084682
0.91,0.91,-0.5599878017698112,-0.16393109947889767,-0.4220962303470353
0.92,0.92,-0.709271932704498,-0.2004018405016793,-0.546605125949067
0.93,0.93,-0.7879796893265705,-0.2521567173288532,-0.5869580740913378
0.94,0.94,-1.0355287579904182,-0.27726418604721165,-0.8001970391493843
0.95,0.95,-1.302456889167166,-0.3512728836496946,-1.0211412353031843
0.96,0.96,-1.6848894534327492,-0.4676015654780612,-1.3030274704821316
0.97,0.97,-2.0199608545442387,-0.670360569032727,-1.4419832922561846
0.98,0.98,-2.3824585339167688,-1.0362635772717455,-1.3466442309267632
0.99,0.99,-2.712582703271592,-1.9197343741129742,-0.7413479290478171
0.1,0.2,-0.011304666399829244,-0.0647782278024377,-0.041388297058078616
0.1,0.3,-0.00857818638442559,,-0.05970731951763991
0.1,0.4,-0.0110066583092443,,-0.077028226317019
0.1,0.5,-0.01504762876802862,,-0.09053819427150178
0.1,0.6,-0.00860860760711013,,-0.09285186428747211
0.1,0.7,-0.007878447017416412,,-0.1026825063935338
0.1,0.8,-0.008991482229995795,,-0.1035961772318918
0.1,0.9,-0.007735574839353887,,-0.10945669696051658
0.2,0.3,-0.02160367665343177,-0.030917144816328512,-0.029866366885589468
0.2,0.4,-0.024700723363394905,-0.0601433268999661,-0.043836612601415026
0.2,0.5,-0.023400307130163944,-0.09048623726441973,-0.053777854751635434
0.2,0.6,-0.023655924385321214,,-0.06704522171351535
0.2,0.7,-0.02129737737792503,,-0.0743065011580567
0.2,0.8,-0.022096208495055003,,-0.0780494380534999
0.2,0.9,-0.020742719243590113,,-0.09498443773946247
