m,M,epsilon_of_M,stat_NICV
0.48,0.48,0.25,1.283881138301164
0.49,0.49,0.25,1.2601830158253273
0.5,0.5,0.25,1.2938740894333267
0.51,0.51,0.25,1.3027579222427825
0.52,0.52,0.25,1.3982034315800298
0.53,0.53,0.25,1.3954815148139674
0.54,0.54,0.25,1.43546373105969
0.55,0.55,0.25,1.4362263038088732
0.56,0.56,0.25,1.5130998141068344
0.57,0.57,0.25,1.609033786635564
0.58,0.58,0.25,1.5995676165156605
0.59,0.59,0.25,1.565066196082373
0.6,0.6,0.25,1.6014122574144676
0.61,0.61,0.25,1.7042983068486373
0.62,0.62,0.25,1.7212873230158034
0.63,0.63,0.25,1.7129683438468668
0.64,0.64,0.25,1.790649015307754
0.65,0.65,0.25,1.8711336471396198
0.66,0.66,0.25,1.8638433306158453
0.67,0.67,0.25,1.9975830611241558
0.68,0.68,0.25,1.9759644151232463
0.69,0.69,0.25,1.9443342167725997
0.7,0.7,0.25,2.0911836303265674
0.71,0.71,0.25,2.143814454554513
0.72,0.72,0.25,2.137700390272775
0.73,0.73,0.25,2.2115905764569206
0.74,0.74,0.25,2.360117067564698
0.75,0.75,0.25,2.3624341690891892
0.76,0.76,0.25,2.371799480754695
0.77,0.77,0.25,2.429527338373076
0.78,0.78,0.25,2.4891069838292044
0.79,0.79,0.25,2.500250379156417
0.8,0.8,0.25,2.6113949644814114
0.81,0.81,0.25,2.6511555360526664
0.82,0.82,0.25,2.6846348441118937
0.83,0.83,0.25,2.8772185382913906
0.84,0.84,0.25,2.7074578676273324
0.85,0.85,0.25,2.8753869007829205
0.86,0.86,0.25,2.982623726961756
0.87,0.87,0.25,2.8452412666140066
0.88,0.88,0.25,2.929327647269383
0.89,0.89,0.25,2.9863609195754317
0.9,0.9,0.25,3.060558032510981
0.91,0.91,0.25,2.9530194320854273
0.92,0.92,0.25,3.1889145128059035
0.93,0.93,0.25,3.182421418126052
0.94,0.94,0.25,3.2758398690462256
0.95,0.95,0.25,3.2060414702580493
0.96,0.96,0.25,3.219879062579731
0.97,0.97,0.25,3.1899640333862544
0.98,0.98,0.25,3.2274418066779846
0.99,0.99,0.25,3.324714763011435
0.1,0.2,0.25,0.7450077816448624
0.1,0.3,0.25,0.738836638181847
0.1,0.4,0.25,0.7707765039682739
0.1,0.5,0.25,0.7794946510176876
0.1,0.6,0.25,0.7850216604916553
0.1,0.7,0.25,0.8031628122106702
0.1,0.8,0.25,0.8289346421117254
0.1,0.9,0.25,0.8095172474805302
0.2,0.3,0.25,0.8312211293054242
0.2,0.4,0.25,0.8210650290482479
0.2,0.5,0.25,0.8541837164949636
0.2,0.6,0.25,0.8595185128011874
0.2,0.7,0.25,0.863710734108685
0.2,0.8,0.25,0.9159492432892562
0.2,0.9,0.25,0.9472610600450796
0.3,0.4,0.25,0.9526056486722528
0.3,0.5,0.25,0.94681364639164
0.3,0.6,0.25,0.9664427116776613
0.3,0.7,0.25,0.9898280002278907
0.3,0.8,0.25,1.0361832320105346
0.3,0.9,0.25,1.0264253793929348
0.4,0.5,0.25,1.1365326122420765
0.4,0.6,0.25,1.1795543227396816
0.4,0.7,0.25,1.2123566034439697
0.4,0.8,0.25,1.252044844920191
0.4,0.9,0.25,1.2483745193368039
0.5,0.6,0.25,1.3601460589295313
0.5,0.7,0.25,1.3699487330147475
0.5,0.8,0.25,1.4493156561371248
0.5,0.9,0.25,1.4400765828561903
0.6,0.7,0.25,1.742826590169574
0.6,0.8,0.25,1.738958685360965
0.6,0.9,0.25,1.8938306255950725
0.7,0.8,0.25,2.2059037216325907
0.7,0.9,0.25,2.2386302192422716
0.8,0.9,0.25,2.720393864062642
