m,M,epsilon_of_M,stat_NICV
0.44,0.44,0.41024582497226336,0.7083544170842156
0.45,0.45,0.416345599312631,0.7181641375571836
0.46,0.46,0.4226322353702709,0.7483142762732437
0.47,0.47,0.4291145834010149,0.7241970252976377
0.48,0.48,0.43580206989951775,0.7430834891613015
0.49,0.49,0.44270474595816484,0.7209450597219788
0.5,0.5,0.44983334064729175,0.7392124621023581
0.51,0.51,0.45719932004375335,0.7174598720326915
0.52,0.52,0.464814952627111,0.7447745583525948
0.53,0.53,0.4726933818706474,0.7296105556350176
0.54,0.54,0.48084870698114207,0.7444082347978199
0.55,0.55,0.48929607289060173,0.735591319567035
0.56,0.56,0.49805177077950596,0.7567424098978212
0.57,0.57,0.5071333506202754,0.7356924776251779
0.58,0.58,0.5165597474785545,0.7491364391189125
0.59,0.59,0.5263514236071962,0.7648281079264583
0.6,0.6,0.5365305287244002,0.7429674798305435
0.61,0.61,0.5471210812968035,0.7841960066951057
0.62,0.62,0.5581491741676017,0.7772832185961935
0.63,0.63,0.5696432085006782,0.7616845056528219
0.64,0.64,0.5816341607818309,0.7625821991752592
0.65,0.65,0.5941558885630488,0.8267797859272896
0.66,0.66,0.607245481801081,0.7758860562080038
0.67,0.67,0.6209436680867643,0.7772212309403265
0.68,0.68,0.6352952818645222,0.8081931526234002
0.69,0.69,0.65034981000463,0.775029687190671
0.7,0.7,0.6661620289505679,0.8102522296522028
0.71,0.71,0.6827927523025192,0.8108591849655626
0.72,0.72,0.7003097123625974,0.8029470591864256
0.73,0.73,0.7187886051942509,0.8403062239466041
0.74,0.74,0.7383143366014491,0.8537522343666488
0.75,0.75,0.75898251675878,0.8348397497632302
0.76,0.76,0.7809012649319927,0.8620484893361593
0.77,0.77,0.804193404118253,0.9097652222478035
0.78,0.78,0.8289991503834556,0.8732782036845891
0.79,0.79,0.8554794359318093,0.9185957200779244
0.8,0.8,0.8838200526074405,0.9566590197257796
0.81,0.81,0.9142368698010942,0.9706700545677934
0.82,0.82,0.9469824771800911,0.9462685548293982
0.83,0.83,0.9823547433177496,1.0018095414389847
0.84,0.84,1.0207079903521874,0.9830638577953237
0.85,0.85,1.062467802085996,1.0556140994768555
0.86,0.86,1.1081509758442802,1.0329728987631095
0.87,0.87,1.1583929144508198,1.1140381582783896
0.88,0.88,1.2139860457936091,1.1059994769559405
0.89,0.89,1.275935050784628,1.1605446047834238
0.9,0.9,1.3455385537002145,1.2075962711878445
0.91,0.91,1.424514083833287,1.2986397278131268
0.92,0.92,1.5151970565903565,1.4390739836820576
0.93,0.93,1.6208734670599652,1.4528683098942468
0.94,0.94,1.7463709781420602,1.573710151364821
0.95,0.95,1.8991940825207472,1.7117365861656673
0.96,0.96,2.091942505168724,1.970646509036513
0.97,0.97,2.3482765458356565,2.23791012436539
0.98,0.98,2.7213790318827806,2.4830446603429865
0.99,0.99,3.3810811219267833,2.9651794824935775
0.1,0.2,,
0.1,0.3,,
0.1,0.4,,
0.1,0.5,,
0.1,0.6,,
0.1,0.7,,
0.1,0.8,,
0.1,0.9,,
0.2,0.3,,
0.2,0.4,,
0.2,0.5,,
0.2,0.6,,
0.2,0.7,,
0.2,0.8,,
0.2,0.9,,
0.3,0.4,,
0.3,0.5,,
0.3,0.6,,
0.3,0.7,,
0.3,0.8,,
0.3,0.9,,
0.4,0.5,0.0,
0.4,0.6,,
0.4,0.7,,
0.4,0.8,,
0.4,0.9,,
0.5,0.6,0.11107280030812314,2.5207891604955206
0.5,0.7,,
0.5,0.8,,
0.5,0.9,,
0.6,0.7,0.0,
0.6,0.8,,
0.6,0.9,,
0.7,0.8,,
0.7,0.9,,
0.8,0.9,,
