m,M,epsilon_of_M,NICV
0.0,0.0,2.0,0.3455788104573537
0.0,0.0,2.0,0.37271773095616895
0.0,0.0,2.0,0.40153446290568495
0.0,0.0,2.0,0.30456103537925217
0.0,0.0,2.0,0.3282055211355093
0.0,0.0,2.0,0.3097016198063509
0.0,0.0,2.0,0.311620221126096
0.0,0.0,2.0,0.3916874412515873
0.0,0.0,2.0,0.2991740511757426
0.0,0.0,2.0,0.3441044597911869
0.0,0.0,2.0,0.3855573335077413
0.0,0.0,2.0,0.3070555066466164
0.0,0.0,2.0,0.31546020396716734
0.0,0.0,2.0,0.3280700741376895
0.0,0.0,2.0,0.39925813706387325
0.0,0.0,2.0,0.38560708803268756
0.0,0.0,2.0,0.2598098855161102
0.0,0.0,2.0,0.3036324923371672
0.0,0.0,2.0,0.3973262042184762
0.0,0.0,2.0,0.306156290296638
0.0,0.0,2.0,0.376438489215004
0.0,0.0,2.0,0.2926462690292222
0.0,0.0,2.0,0.3510001862175022
0.0,0.0,2.0,0.39520620778980603
0.0,0.0,2.0,0.3900107308433419
0.0,0.0,2.0,0.3109079489676787
0.0,0.0,2.0,0.3086850417464722
0.0,0.0,2.0,0.2962897115201271
0.0,0.0,2.0,0.31058409251575847
0.0,0.0,2.0,0.3100979058109681
0.0,0.0,2.0,0.30909705536057525
0.0,0.0,2.0,0.3427704108342939
0.0,0.0,2.0,0.3059183363114243
0.0,0.0,2.0,0.40163774318410383
0.0,0.0,2.0,0.3958353975780496
0.0,0.0,2.0,0.3299942692105258
0.0,0.0,2.0,0.38830344000068284
0.0,0.0,2.0,0.3775329242181939
0.0,0.0,2.0,0.39726992825019863
0.0,0.0,2.0,0.31130293800713815
0.0,0.0,2.0,0.3548712542917338
0.0,0.0,2.0,0.2723749015132439
0.0,0.0,2.0,0.3529356491954085
0.0,0.0,2.0,0.3185050095375985
0.0,0.0,2.0,0.3041649452460572
0.0,0.0,2.0,0.3878304686425745
0.0,0.0,2.0,0.3808031932590041
0.0,0.0,2.0,0.3195565763904983
0.0,0.0,2.0,0.3109822231204877
0.0,0.0,2.0,0.37307377519596313
0.0,0.0,2.0,0.29492458592512155
0.0,0.0,2.0,0.3752025232261221
0.0,0.0,2.0,0.31935205693022456
0.0,0.0,2.0,0.31503973264834934
0.0,0.0,2.0,0.3063360236689073
0.0,0.0,2.0,0.3148660004481965
0.0,0.0,2.0,0.30811896532734456
0.0,0.0,2.0,0.39816787395761305
0.0,0.0,2.0,0.31868579695887134
0.0,0.0,2.0,0.39037510979101214
0.0,0.0,2.0,0.2905530976347207
0.0,0.0,2.0,0.32512014669041617
0.0,0.0,2.0,0.34478671465539834
0.0,0.0,2.0,0.3114096038336247
0.0,0.0,2.0,0.3096905064516632
0.0,0.0,2.0,0.4023183862044294
0.0,0.0,2.0,0.3261673312144268
0.0,0.0,2.0,0.39708696182361264
0.0,0.0,2.0,0.30282898699864863
0.0,0.0,2.0,0.3070060864052983
0.0,0.0,2.0,0.3832384589332275
0.0,0.0,2.0,0.4000543154905409
0.0,0.0,2.0,0.31781728474034615
0.0,0.0,2.0,0.2929025957382509
0.0,0.0,2.0,0.31965378890361956
0.0,0.0,2.0,0.38598559218605316
0.0,0.0,2.0,0.3912115259171759
0.0,0.0,2.0,0.30991644604727153
0.0,0.0,2.0,0.3955216471239631
0.0,0.0,2.0,0.31828846816463496
0.0,0.0,2.0,0.32168836358637687
0.0,0.0,2.0,0.29928873850039023
0.0,0.0,2.0,0.316077518714809
0.0,0.0,2.0,0.3073253374429217
0.0,0.0,2.0,0.3083135826984603
0.0,0.0,2.0,0.39355209257793494
0.0,0.0,2.0,0.3278492599464642
0.0,0.0,2.0,0.30345639352750936
0.0,0.0,2.0,0.3137381510549791
0.0,0.0,2.0,0.3877371219025411
0.0,0.0,2.0,0.31937727327931703
0.0,0.0,2.0,0.38553998840336384
0.0,0.0,2.0,0.2966508066184354
0.0,0.0,2.0,0.3033884207685014
0.0,0.0,2.0,0.3696116274375255
0.0,0.0,2.0,0.3316432082384205
0.0,0.0,2.0,0.319879935018684
0.0,0.0,2.0,0.28681271755558774
0.0,0.0,2.0,0.3250093797338346
0.0,0.0,2.0,0.3365694777658472
0.0,0.0,2.0,0.31617703864501995
0.0,0.0,2.0,0.3104553251245541
0.0,0.0,2.0,0.3931917760094838
