m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.71,0.71,-0.0798069071257529,-0.0028476390172261,-0.0700601274777313
0.72,0.72,-0.0449449027076851,-0.0059002344965404,-0.034383943330342906
0.73,0.73,-0.0721117240234254,-0.0045689023123315995,-0.0610776476274352
0.74,0.74,-0.0548923742763743,-0.0031935880873904,-0.0393617263418584
0.75,0.75,-0.0710973851991032,-0.0044682015080424,-0.052071946029009004
0.76,0.76,-0.0883580205852329,-0.0035195595195895,-0.07109144863594141
0.77,0.77,-0.10731911983383921,-0.00522065957984,-0.083894465868593
0.78,0.78,-0.08468248337650049,-0.0048187073250951,-0.06115519781608939
0.79,0.79,-0.12022514053865639,-0.0068963053766666,-0.0961076098298736
0.8,0.8,-0.1337068759232905,-0.005310927828048401,-0.1046108632915684
0.81,0.81,-0.1955020627990596,-0.0071692886310658,-0.1517637156222156
0.82,0.82,-0.19401662304007788,-0.013015078028854201,-0.1563626590474705
0.83,0.83,-0.2854246964113502,-0.0131345602343399,-0.2160919259967437
0.84,0.84,-0.32702250663804394,-0.0205961819478475,-0.26032640222506404
0.85,0.85,-0.5533809838235596,-0.0138919229980869,-0.44473166017282384
0.86,0.86,-0.4573009419349375,-0.0150720195045072,-0.3329441695509545
0.87,0.87,-0.5925560435686567,-0.0209588017274084,-0.4666220391191134
0.88,0.88,-0.6940920195798583,-0.0210820822631981,-0.3467740617167515
0.89,0.89,-0.5510021048937201,-0.0281251151796701,-0.3079133762870473
0.9,0.9,-1.059567197128946,-0.0458616839452969,-0.7651981480127231
0.91,0.91,-1.0708856604403414,-0.0482650249484095,-0.7266171134115593
0.92,0.92,-0.9680250299388923,-0.059929365655560805,-0.461270200375537
0.93,0.93,-1.1654478650289457,-0.09480490234416261,-0.41539812729562553
0.94,0.94,-1.2326401100751165,-0.15280667108524001,-0.3541082831790545
0.95,0.95,-1.4301475667197947,-0.2130878973455799,-0.12418577574302825
0.96,0.96,-1.7221222701136039,-0.2967292819771738,-0.22105317934768132
0.97,0.97,-1.6027378162220602,-0.4334693875060811,-0.16150073110801877
