m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.62,0.62,-0.1834155439259259,-0.005495211853295799,-0.0812271898857271
0.63,0.63,-0.2092211529970106,-0.006226310978082099,-0.10583709348739169
0.64,0.64,-0.293518795442569,-0.0122768759652034,-0.1444282840983512
0.65,0.65,-0.1920261245216239,-0.0132440750147398,-0.0916910481196799
0.66,0.66,-0.28054667275153533,-0.0153183562329594,-0.1014786742103092
0.67,0.67,-0.33768709769989097,-0.0097960556896952,-0.2213214902065786
0.68,0.68,-0.2613247720139912,-0.010312023594167698,-0.0726453488561605
0.69,0.69,-0.3958502171231741,-0.016608492686227397,-0.1916637959628432
0.7,0.7,-0.3219449421330885,-0.013658019390128699,-0.08154393596543913
0.71,0.71,-0.4041503287166478,-0.0163039915476873,-0.1313420515651355
0.72,0.72,-0.532013798791026,-0.015296649593255898,-0.15429245062142044
0.73,0.73,-0.5092096434720217,-0.032832615788140306,-0.2419780218183306
0.74,0.74,-0.5300681336593568,-0.0176491990342146,-0.2091876050898282
0.75,0.75,-0.681675931749648,-0.016634058787103098,-0.26527011911428827
0.76,0.76,-0.5595088125398253,-0.029448576700841604,-0.19367854349810182
0.77,0.77,-0.7227319701869468,-0.025865479201356102,-0.34535055467017983
0.78,0.78,-0.8165655911696851,-0.0377084361348732,-0.3236992404014027
0.79,0.79,-0.6205232514562206,-0.0500756284007269,0.20194419775542571
0.8,0.8,-0.7633930939766845,-0.0262027200473147,-0.10914569520025852
0.81,0.81,-0.9145896253283562,-0.021855211264108502,-0.14360138254468247
0.82,0.82,-1.0166628478674165,-0.0442043984982793,-0.22810986355592822
0.83,0.83,-1.095394119912426,-0.0388222056949251,-0.39157503050307096
0.84,0.84,-1.1798795787722482,-0.0438763238656206,-0.17193873082454747
0.85,0.85,-1.2632924194946527,-0.06997477574597251,-0.40194038109066466
0.86,0.86,-1.2990748835087325,-0.0557636861233823,-0.466975271432269
0.87,0.87,-1.39235510563422,-0.092079558518569,-0.26986551641486467
0.88,0.88,-1.323273626455366,-0.090079377429183,0.03104431224878712
0.89,0.89,-1.587750320815584,-0.0995937517312138,-0.16225633508029613
0.9,0.9,-1.8773471102345622,-0.19807664700261512,-0.5036146585288921
0.91,0.91,-1.554557577256031,-0.1582467993071591,-0.0040026828949295545
0.92,0.92,-1.7516070789395357,-0.2396959538768235,-0.24021596113989574
0.93,0.93,-1.5995240535945303,-0.3959968898168128,-0.18716093545598333
0.94,0.94,-1.6938705164600942,-0.3622157429648554,-0.32096732462819455
0.95,0.95,-1.8331773612960487,-0.3770348523131027,-0.1740129336068903
0.96,0.96,-1.6795183982962163,-0.7427836127416664,0.057290032086789955
0.97,0.97,-1.7012997638287513,-0.9320686716043768,-0.002918388515031234
0.98,0.98,-1.7387060819750477,-1.4015613067898836,0.07519746104111724
0.99,0.99,-1.5605967665766731,-1.6886516540474767,0.16748252613529724
0.1,0.2,-0.0024287090018931994,,-0.0075350681078978
0.1,0.3,-0.0033311104457127002,,-0.0057566181778439
0.1,0.4,-0.005709010632713799,,-0.009136033820051
0.1,0.5,-0.0033024189743253,,-0.0075425213992739
0.1,0.6,-0.0092362503655011,,-0.0133924180883196
0.1,0.7,-0.0057265760103909,,-0.0111489066571727
0.1,0.8,-0.007296291055746799,,-0.011558790354497599
0.1,0.9,-0.0055348035491854,,-0.0101034005734001
0.2,0.3,-0.006324907672874001,,-0.0097710218083639
0.2,0.4,-0.0072346603392224994,,-0.012414829022463799
0.2,0.5,-0.010384319308340498,,-0.0145404376948872
0.2,0.6,-0.0149209578533979,,-0.0199536931919512
0.2,0.7,-0.0114476431441967,,-0.0147123169252966
0.2,0.8,-0.02203658861527,,-0.0260790322142821
0.2,0.9,-0.022343068920825,,-0.0260231200902518
0.3,0.4,-0.021305730732699903,-0.2332367422178827,-0.0261301355820801
0.3,0.5,-0.0203795839547662,,-0.0249186897331754
0.3,0.6,-0.0207783905807784,,-0.0247884067438953
0.3,0.7,-0.0171548255764149,,-0.021184080323704
0.3,0.8,-0.0266969377222356,,-0.0288539571186295
0.3,0.9,-0.0225628396958957,,-0.024918234066570302
0.4,0.5,-0.034666962623532,-0.0393020791394979,-0.0352786940575548
0.4,0.6,-0.0381317361489278,,-0.0420630783818371
0.4,0.7,-0.0377898601969454,,-0.0434315738413282
0.4,0.8,-0.0453569923481785,,-0.049112744739428296
0.4,0.9,-0.0561077020050877,,-0.0604771664671521
0.5,0.6,-0.0818365555269509,-0.0353031391754002,-0.0775822143480584
0.5,0.7,-0.0922144103758582,-1.0365295970227548,-0.094191929352686
0.5,0.8,-0.08823343046962,,-0.09214674644726009
0.5,0.9,-0.1616432691600753,,-0.1654769410302454
0.6,0.7,-0.1889839585441148,-0.0349788651980195,-0.1783088061293762
0.6,0.8,-0.15837556449032708,,-0.1616068765346217
0.6,0.9,-0.27296234037633477,,-0.2764335520599508
0.7,0.8,-0.4188118069992643,-0.5165684326775709,-0.4133410579578807
0.7,0.9,-0.4884464774070676,,-0.4930979241054906
0.8,0.9,-0.9704062226365909,,-0.970635001697383
