m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.37,0.37,-0.3580352833568696,-0.0292441914312338,-0.057563055973385624
0.38,0.38,-0.328620147499052,-0.03008227519038542,0.07536412414429838
0.39,0.39,-0.3672599919132874,-0.04883097760705657,0.01942021632459756
0.4,0.4,-0.4480099493888797,-0.03344612220642207,-0.06907908973663601
0.41,0.41,-0.43699850973033605,-0.03721705090267158,-0.04807896634108677
0.42,0.42,-0.4835600947596431,-0.06485257324982474,-0.10943720600546825
0.43,0.43,-0.4570748232338592,-0.0662807669397123,-0.018532953302457855
0.44,0.44,-0.4874511664249982,-0.04172389069217464,-0.013004434951525035
0.45,0.45,-0.5385631089403916,-0.05866794349802795,-0.06859163929497925
0.46,0.46,-0.5445912842255698,-0.08162303006300908,-0.026670282901067877
0.47,0.47,-0.5879705319676786,-0.05223238979768141,-0.07664320921891732
0.48,0.48,-0.6197578012843212,-0.07896015214445884,-0.10137716313342793
0.49,0.49,-0.5751442631998709,-0.03590630709652254,-0.05084588401330281
0.5,0.5,-0.6463351048863618,-0.09167347755539323,-0.040401483651381076
0.51,0.51,-0.6499712246044206,-0.06467317439432974,0.021554396208294246
0.52,0.52,-0.7281769073363841,-0.07474803410894904,-0.07809638392096674
0.53,0.53,-0.7354647012864739,-0.06959374210752411,-0.08276039918956712
0.54,0.54,-0.7526980730867645,-0.06164257682489438,-0.10751801627227042
0.55,0.55,-0.7701683256776822,-0.06953334143584411,-0.07246099987378507
0.56,0.56,-0.863977259602766,-0.10761985539375274,-0.06297652670938492
0.57,0.57,-0.9323161901644432,-0.058974881154057135,-0.15283712422411178
0.58,0.58,-0.9170053500265206,-0.06657417262977261,-0.12286663788523389
0.59,0.59,-0.8948668451566695,-0.09462875700075468,0.011752042293591503
0.6,0.6,-0.9295543838630965,-0.0711096062791724,-0.07646580407131376
0.61,0.61,-1.0352308166591702,-0.1151285165056386,-0.17812136275390733
0.62,0.62,-1.0442122628226156,-0.10020815840300568,-0.14771502039974616
0.63,0.63,-1.0566073253511137,-0.10532348715706874,-0.06901541608674022
0.64,0.64,-1.131160748627904,-0.10309393249540899,-0.1514373503144113
0.65,0.65,-1.2220444976227847,-0.17769063641045413,-0.14321535115929307
0.66,0.66,-1.1933988008514593,-0.10544152644361782,-0.1607598737566407
0.67,0.67,-1.3418787821423899,-0.12151695195856016,-0.23718435960060624
