m,M,epsilon_of_M,stat_NICV
0.4,0.6,0.25,0.06215154085725918
0.4,0.7,0.25,0.06255722655387207
0.4,0.8,0.25,0.05910112033561259
0.4,0.9,0.25,0.08714615566341082
0.5,0.6,0.25,0.06786128165006738
0.5,0.7,0.25,0.053726530559784005
0.5,0.8,0.25,0.10290171593100449
0.5,0.9,0.25,0.05774290002567104
0.6,0.7,0.25,0.09487646315065784
0.6,0.8,0.25,0.06559790421805653
0.6,0.9,0.25,0.06674683778361669
0.7,0.8,0.25,0.0729575746617323
0.7,0.9,0.25,0.07333927955699748
0.8,0.9,0.25,0.0794750918092386
