m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.3,0.7,-0.5895,-0.42050000000000004,-0.5474999999999999,-0.5025,,,,,-0.6575,-0.6970000000000001,-0.6619999999999999,-0.6779999999999999
0.3,0.8,-0.6315000000000001,-0.44299999999999995,-0.5760000000000001,-0.5289999999999999,,,,,-0.6965,-0.735,-0.7035,-0.7130000000000001
0.3,0.9,-0.681,-0.5285000000000001,-0.6555,-0.6035,,,,,-0.7424999999999999,-0.795,-0.77,-0.7955
0.4,0.5,-0.4715,-0.3065,-0.438,-0.37749999999999995,,,,,-0.5175000000000001,-0.39150000000000007,-0.5009999999999999,-0.474
0.4,0.6,-0.528,-0.33049999999999996,-0.47550000000000003,-0.42999999999999994,,,,,-0.5870000000000001,-0.5045,-0.5725,-0.5925
0.4,0.7,-0.5750000000000001,-0.4,-0.5494999999999999,-0.487,,,,,-0.6375000000000001,-0.65,-0.6605000000000001,-0.6645
0.4,0.8,-0.621,-0.49450000000000005,-0.603,-0.5269999999999999,,,,,-0.6930000000000001,-0.741,-0.7155,-0.7275
0.4,0.9,-0.6955,-0.532,-0.661,-0.633,,,,,-0.7535000000000001,-0.813,-0.782,-0.8005
0.5,0.6,-0.5285,-0.3505,-0.48249999999999993,-0.41500000000000004,-0.5499999999999999,-0.427,-0.564,-0.517,-0.551,-0.40199999999999997,-0.517,-0.48450000000000004
0.5,0.7,-0.5695,-0.40850000000000003,-0.5335000000000001,-0.474,,,,,-0.624,-0.575,-0.6315,-0.606
0.5,0.8,-0.6180000000000001,-0.43849999999999995,-0.596,-0.521,,,,,-0.69,-0.7030000000000001,-0.7080000000000001,-0.7185
0.5,0.9,-0.7085,-0.5405,-0.6924999999999999,-0.6379999999999999,,,,,-0.771,-0.8240000000000001,-0.8109999999999999,-0.819
0.6,0.7,-0.5965,-0.407,-0.5565,-0.48300000000000004,,,,,-0.63,-0.463,-0.6045,-0.5509999999999999
0.6,0.8,-0.641,-0.468,-0.6099999999999999,-0.534,,,,,-0.6915,-0.6439999999999999,-0.7070000000000001,-0.697
0.6,0.9,-0.6975,-0.5345,-0.688,-0.6359999999999999,,,,,-0.754,-0.8130000000000001,-0.8,-0.812
0.7,0.8,-0.6395000000000001,-0.4345,-0.607,-0.5465,,,,,-0.6905,-0.525,-0.6759999999999999,-0.633
0.7,0.9,-0.7234999999999999,-0.5189999999999999,-0.6805,-0.6260000000000001,,,,,-0.7775,-0.798,-0.806,-0.8255000000000001
0.8,0.9,-0.6960000000000001,-0.5375000000000001,-0.688,-0.6259999999999999,,,,,-0.758,-0.6910000000000001,-0.784,-0.7669999999999999
