m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.98,0.98,-0.8815,-0.889,-0.895,-0.9,-0.873,-0.8574999999999999,-0.8765000000000001,-0.875,-0.327,-0.214,-0.21700000000000003,-0.162
0.99,0.99,-0.909,-0.9005000000000001,-0.9299999999999999,-0.9299999999999999,-0.906,-0.8755000000000001,-0.9045,-0.908,-0.19949999999999998,-0.14950000000000002,-0.07249999999999998,-0.07299999999999998
0.1,0.2,-0.345,-0.34299999999999997,-0.352,-0.3580000000000001,,,,,-0.345,-0.365,-0.353,-0.36050000000000004
0.1,0.3,-0.4285,-0.41000000000000003,-0.4225000000000001,-0.4245,,,,,-0.4285,-0.4325,-0.42400000000000004,-0.4275
0.1,0.4,-0.472,-0.4555,-0.4660000000000001,-0.46399999999999997,,,,,-0.472,-0.47550000000000003,-0.4675,-0.46799999999999997
0.1,0.5,-0.526,-0.5035000000000001,-0.5150000000000001,-0.516,,,,,-0.526,-0.521,-0.5165,-0.518
0.1,0.6,-0.5505,-0.543,-0.554,-0.5565,,,,,-0.5505,-0.5615,-0.5555,-0.558
0.1,0.7,-0.6065,-0.5905,-0.6075,-0.6040000000000001,,,,,-0.607,-0.6085,-0.608,-0.6065
0.1,0.8,-0.6475,-0.6280000000000001,-0.655,-0.651,,,,,-0.6475,-0.6555,-0.656,-0.6515
0.1,0.9,-0.735,-0.728,-0.7255,-0.7370000000000001,,,,,-0.735,-0.7475,-0.7255,-0.7404999999999999
0.2,0.3,-0.4195,-0.4185000000000001,-0.4115,-0.40449999999999997,-0.42300000000000004,-0.42300000000000004,-0.41800000000000004,-0.4125,-0.4195,-0.42600000000000005,-0.41200000000000003,-0.40800000000000003
0.2,0.4,-0.44599999999999995,-0.4385,-0.45100000000000007,-0.45200000000000007,,,,,-0.44599999999999995,-0.46099999999999997,-0.45200000000000007,-0.4545
0.2,0.5,-0.5275000000000001,-0.5035000000000001,-0.527,-0.527,,,,,-0.5275000000000001,-0.529,-0.528,-0.529
0.2,0.6,-0.5529999999999999,-0.533,-0.5595000000000001,-0.552,,,,,-0.5529999999999999,-0.5565,-0.56,-0.5545
0.2,0.7,-0.6185,-0.6115,-0.622,-0.611,,,,,-0.619,-0.632,-0.622,-0.614
0.2,0.8,-0.683,-0.672,-0.6795,-0.6799999999999999,,,,,-0.683,-0.6925,-0.681,-0.6819999999999999
0.2,0.9,-0.7275,-0.724,-0.7210000000000001,-0.7290000000000001,,,,,-0.7275,-0.7475,-0.7224999999999999,-0.7315
0.3,0.4,-0.48650000000000004,-0.473,-0.4840000000000001,-0.48150000000000004,-0.48750000000000004,-0.4625,-0.49050000000000005,-0.48550000000000004,-0.48650000000000004,-0.47650000000000003,-0.4840000000000001,-0.4840000000000001
0.3,0.5,-0.5335,-0.513,-0.5290000000000001,-0.533,-0.5185,-0.5115000000000001,-0.5230000000000001,-0.518,-0.5335,-0.5285,-0.5295000000000001,-0.5355
0.3,0.6,-0.5845,-0.579,-0.5815000000000001,-0.5810000000000001,,,,,-0.5845,-0.5945,-0.583,-0.5825
0.3,0.7,-0.6305000000000001,-0.6140000000000001,-0.6320000000000001,-0.6285000000000001,,,,,-0.6305000000000001,-0.635,-0.6325000000000001,-0.631
0.3,0.8,-0.681,-0.674,-0.6835,-0.6890000000000001,,,,,-0.681,-0.6925,-0.6845,-0.6890000000000001
0.3,0.9,-0.723,-0.7175,-0.7335,-0.7295,,,,,-0.723,-0.74,-0.735,-0.731
0.4,0.5,-0.5365,-0.5205,-0.533,-0.5305,-0.5145,-0.49800000000000005,-0.5075000000000001,-0.5110000000000001,-0.5365,-0.5009999999999999,-0.532,-0.532
0.4,0.6,-0.5840000000000001,-0.559,-0.5840000000000001,-0.5780000000000001,-0.5705,-0.551,-0.571,-0.5735,-0.5840000000000001,-0.5650000000000001,-0.5835000000000001,-0.5800000000000001
0.4,0.7,-0.618,-0.609,-0.6215,-0.6225,-0.6105,-0.6165,-0.617,-0.6155,-0.618,-0.6255,-0.6215,-0.625
0.4,0.8,-0.6975,-0.6775,-0.6930000000000001,-0.6890000000000001,,,,,-0.6975,-0.7,-0.694,-0.6930000000000001
0.4,0.9,-0.738,-0.73,-0.7370000000000001,-0.7350000000000001,,,,,-0.738,-0.7525,-0.7384999999999999,-0.7395
0.5,0.6,-0.5905,-0.5725,-0.6000000000000001,-0.5905,-0.5725,-0.5405,-0.5800000000000001,-0.5675,-0.5895,-0.5355000000000001,-0.597,-0.5840000000000001
0.5,0.7,-0.626,-0.62,-0.634,-0.629,-0.62,-0.6045,-0.6174999999999999,-0.6120000000000001,-0.626,-0.607,-0.6335000000000001,-0.6280000000000001
0.5,0.8,-0.681,-0.649,-0.6759999999999999,-0.6825000000000001,-0.6875,-0.6779999999999999,-0.698,-0.6970000000000001,-0.681,-0.6715,-0.6755,-0.6839999999999999
0.5,0.9,-0.753,-0.738,-0.7465,-0.7495,,,,,-0.753,-0.7625,-0.749,-0.752
0.6,0.7,-0.645,-0.6180000000000001,-0.642,-0.641,-0.646,-0.6285000000000001,-0.651,-0.6465000000000001,-0.6435000000000001,-0.5565,-0.6355000000000001,-0.616
0.6,0.8,-0.667,-0.66,-0.6705,-0.6639999999999999,-0.6835,-0.6625000000000001,-0.6759999999999999,-0.679,-0.667,-0.648,-0.6695,-0.661
0.6,0.9,-0.7475,-0.7315,-0.75,-0.747,,,,,-0.7475,-0.7535000000000001,-0.7515000000000001,-0.748
0.7,0.8,-0.6839999999999999,-0.6645000000000001,-0.6805000000000001,-0.6805000000000001,-0.6975,-0.686,-0.6950000000000001,-0.6960000000000001,-0.6825000000000001,-0.5905,-0.6725000000000001,-0.659
0.7,0.9,-0.756,-0.7404999999999999,-0.757,-0.7605000000000001,,,,,-0.756,-0.7615,-0.758,-0.763
0.8,0.9,-0.7595000000000001,-0.752,-0.7630000000000001,-0.764,-0.7525,-0.7384999999999999,-0.7590000000000001,-0.76,-0.7595000000000001,-0.7110000000000001,-0.7570000000000001,-0.75
