m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.2,0.7,0.5,9.432016056618942e-10,0.986,0.728,0.932,0.892
0.2,0.8,0.5,9.432016056618942e-10,0.9855,0.718,0.934,0.874
0.2,0.9,0.5,9.432016056618942e-10,0.9865,0.722,0.929,0.882
0.3,0.4,0.5,9.432016056618942e-10,0.986,0.7305,0.925,0.877
0.3,0.5,0.5,9.432016056618942e-10,0.9825,0.713,0.9395,0.886
0.3,0.6,0.5,9.432016056618942e-10,0.9855,0.7195,0.9285,0.872
0.3,0.7,0.5,9.432016056618942e-10,0.9845,0.727,0.9305,0.8615
0.3,0.8,0.5,9.432016056618942e-10,0.981,0.73,0.9365,0.8845
0.3,0.9,0.5,9.432016056618942e-10,0.987,0.7295,0.9355,0.876
0.4,0.5,0.5,9.432016056618942e-10,0.986,0.7425,0.94,0.879
0.4,0.6,0.5,9.432016056618942e-10,0.984,0.728,0.938,0.8615
0.4,0.7,0.5,9.432016056618942e-10,0.9865,0.731,0.928,0.8625
0.4,0.8,0.5,9.432016056618942e-10,0.984,0.721,0.9345,0.853
0.4,0.9,0.5,9.432016056618942e-10,0.984,0.735,0.9265,0.87
0.5,0.6,0.5,9.432016056618942e-10,0.9855,0.722,0.9335,0.87
0.5,0.7,0.5,9.432016056618942e-10,0.986,0.7245,0.9345,0.8665
0.5,0.8,0.5,9.432016056618942e-10,0.983,0.704,0.927,0.866
0.5,0.9,0.5,9.432016056618942e-10,0.9855,0.7175,0.927,0.867
0.6,0.7,0.5,9.432016056618942e-10,0.982,0.7325,0.9175,0.8675
0.6,0.8,0.5,9.432016056618942e-10,0.986,0.723,0.928,0.8755
0.6,0.9,0.5,9.432016056618942e-10,0.9815,0.716,0.931,0.8865
0.7,0.8,0.5,9.432016056618942e-10,0.981,0.7255,0.938,0.861
0.7,0.9,0.5,9.432016056618942e-10,0.985,0.7245,0.927,0.879
0.8,0.9,0.5,9.432016056618942e-10,0.9845,0.72,0.9345,0.8595
