m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.04,0.07,1.2220707299147482,9.054735414354184e-10,1.0,0.9765,0.999,0.998
0.04,0.08,1.4680163866390514,9.054735414354184e-10,1.0,0.988,1.0,0.999
0.04,0.09,1.7139455387257918,9.054735414354184e-10,1.0,0.9925,1.0,1.0
0.05,0.06,0.6761087018437724,8.960415253787996e-10,0.997,0.831,0.975,0.957
0.05,0.07,0.8720707299147487,8.960415253787996e-10,0.999,0.8975,0.9915,0.9845
0.05,0.08,1.0680163866390517,8.960415253787996e-10,1.0,0.949,0.998,0.9945
0.05,0.09,1.2639455387257912,8.960415253787996e-10,1.0,0.9735,0.9965,0.9985
0.06,0.07,0.6387373965814155,8.866095093221807e-10,0.9965,0.8095,0.964,0.937
0.06,0.08,0.8013497199723856,8.866095093221807e-10,0.999,0.8845,0.9915,0.968
0.06,0.09,0.9639455387257913,8.866095093221807e-10,1.0,0.923,0.9945,0.9855
0.07,0.08,0.6108735294961943,8.771774932655611e-10,0.9945,0.786,0.9625,0.9245
0.07,0.09,0.7496598244400766,8.771774932655611e-10,0.9975,0.8605,0.9795,0.972
0.08,0.09,0.588945538725791,8.677454772089425e-10,0.992,0.789,0.9585,0.912
