m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.36,0.36,-0.531,-0.21299999999999997,-0.38200000000000006,-0.279,-0.5225000000000001,-0.195,-0.36450000000000005,-0.2545,-0.40449999999999997,-0.10449999999999998,-0.1885,-0.11050000000000004
0.37,0.37,-0.5569999999999999,-0.2515,-0.387,-0.30599999999999994,-0.5265,-0.193,-0.389,-0.27449999999999997,-0.422,-0.11549999999999999,-0.1845,-0.14599999999999996
0.38,0.38,-0.549,-0.2395,-0.39449999999999996,-0.283,-0.542,-0.2005,-0.37449999999999994,-0.27749999999999997,-0.38849999999999996,-0.10199999999999998,-0.20350000000000001,-0.11000000000000004
0.39,0.39,-0.538,-0.21449999999999997,-0.39799999999999996,-0.29899999999999993,-0.547,-0.21349999999999997,-0.38499999999999995,-0.2845,-0.38,-0.08799999999999997,-0.183,-0.10249999999999998
0.4,0.4,-0.5670000000000001,-0.22699999999999998,-0.42150000000000004,-0.278,-0.557,-0.20049999999999996,-0.405,-0.25800000000000006,-0.39949999999999997,-0.09399999999999997,-0.1965,-0.11449999999999999
0.41,0.41,-0.5575,-0.22799999999999998,-0.39899999999999997,-0.3045,-0.5525,-0.21149999999999997,-0.38199999999999995,-0.28,-0.40549999999999997,-0.09300000000000003,-0.1725,-0.12
0.42,0.42,-0.5740000000000001,-0.2595,-0.44899999999999995,-0.31349999999999995,-0.5555000000000001,-0.21899999999999997,-0.418,-0.283,-0.39949999999999997,-0.10500000000000004,-0.1925,-0.1185
0.43,0.43,-0.5805,-0.23249999999999998,-0.4109999999999999,-0.3345,-0.5700000000000001,-0.19899999999999995,-0.39549999999999996,-0.29900000000000004,-0.38000000000000006,-0.11399999999999999,-0.1805,-0.11299999999999999
0.44,0.44,-0.5549999999999999,-0.23299999999999998,-0.43599999999999994,-0.30999999999999994,-0.53,-0.1785,-0.39849999999999997,-0.27149999999999996,-0.38600000000000007,-0.09700000000000003,-0.184,-0.10599999999999998
0.45,0.45,-0.5775000000000001,-0.248,-0.42550000000000004,-0.32249999999999995,-0.562,-0.22649999999999998,-0.39300000000000007,-0.29,-0.3875,-0.11399999999999999,-0.1995,-0.10649999999999998
0.46,0.46,-0.5954999999999999,-0.252,-0.453,-0.3305,-0.5565,-0.22499999999999998,-0.42900000000000005,-0.2885,-0.38499999999999995,-0.08550000000000002,-0.172,-0.12549999999999997
0.47,0.47,-0.5845,-0.276,-0.44749999999999995,-0.33799999999999997,-0.5605,-0.23299999999999998,-0.39649999999999996,-0.3015,-0.39649999999999996,-0.098,-0.1915,-0.11300000000000002
0.48,0.48,-0.605,-0.22149999999999997,-0.45249999999999996,-0.3305,-0.59,-0.21499999999999997,-0.43149999999999994,-0.294,-0.39549999999999996,-0.07750000000000001,-0.1815,-0.12799999999999997
0.49,0.49,-0.591,-0.258,-0.45349999999999996,-0.357,-0.5765,-0.21949999999999997,-0.43299999999999994,-0.32899999999999996,-0.3695,-0.08299999999999999,-0.1755,-0.144
0.5,0.5,-0.617,-0.27649999999999997,-0.43550000000000005,-0.3430000000000001,-0.6045,-0.2515,-0.42250000000000004,-0.31350000000000006,-0.36500000000000005,-0.11800000000000002,-0.16999999999999998,-0.11800000000000002
0.51,0.51,-0.604,-0.2845,-0.44650000000000006,-0.33899999999999997,-0.5885,-0.2345,-0.41300000000000003,-0.30349999999999994,-0.35850000000000004,-0.1445,-0.15200000000000002,-0.093
0.52,0.52,-0.6005,-0.25849999999999995,-0.433,-0.3375,-0.601,-0.24299999999999997,-0.4255,-0.29500000000000004,-0.35550000000000004,-0.098,-0.125,-0.12799999999999997
0.53,0.53,-0.5934999999999999,-0.272,-0.46950000000000003,-0.344,-0.5914999999999999,-0.238,-0.43,-0.30899999999999994,-0.337,-0.10650000000000001,-0.11899999999999997,-0.0865
0.54,0.54,-0.6105,-0.26049999999999995,-0.47150000000000003,-0.35650000000000004,-0.619,-0.24349999999999997,-0.4385,-0.3245,-0.35150000000000003,-0.0885,-0.158,-0.099
0.55,0.55,-0.634,-0.2995,-0.45500000000000007,-0.34550000000000003,-0.615,-0.252,-0.42000000000000004,-0.3045,-0.36950000000000005,-0.1275,-0.13749999999999998,-0.07499999999999998
0.56,0.56,-0.6285000000000001,-0.25850000000000006,-0.4604999999999999,-0.345,-0.61,-0.23550000000000001,-0.44199999999999995,-0.3205,-0.341,-0.08299999999999999,-0.11100000000000002,-0.07149999999999998
0.57,0.57,-0.644,-0.27149999999999996,-0.48249999999999993,-0.37,-0.6325000000000001,-0.24549999999999997,-0.44999999999999996,-0.3385,-0.3285,-0.07600000000000004,-0.12350000000000003,-0.08949999999999997
0.58,0.58,-0.6405000000000001,-0.299,-0.4670000000000001,-0.38399999999999995,-0.6120000000000001,-0.23099999999999998,-0.41700000000000004,-0.31399999999999995,-0.3360000000000001,-0.09100000000000003,-0.13650000000000004,-0.08750000000000002
0.59,0.59,-0.632,-0.2995,-0.49050000000000005,-0.38799999999999996,-0.645,-0.273,-0.475,-0.369,-0.32999999999999996,-0.08250000000000002,-0.13699999999999998,-0.07500000000000001
0.6,0.6,-0.6425000000000001,-0.26250000000000007,-0.481,-0.365,-0.6405000000000001,-0.24500000000000002,-0.4694999999999999,-0.3434999999999999,-0.3115,-0.06900000000000003,-0.11350000000000002,-0.07200000000000004
0.61,0.61,-0.631,-0.28150000000000003,-0.46,-0.359,-0.635,-0.24550000000000002,-0.4295,-0.32799999999999996,-0.31500000000000006,-0.08700000000000002,-0.11549999999999999,-0.08400000000000002
0.62,0.62,-0.624,-0.295,-0.47800000000000004,-0.3755,-0.622,-0.25149999999999995,-0.44900000000000007,-0.348,-0.2779999999999999,-0.08350000000000002,-0.10699999999999998,-0.08549999999999996
0.63,0.63,-0.6475000000000001,-0.3085,-0.49450000000000005,-0.38350000000000006,-0.623,-0.26349999999999996,-0.43800000000000006,-0.3295,-0.28,-0.09550000000000003,-0.133,-0.07450000000000001
0.64,0.64,-0.64,-0.3155,-0.4835,-0.376,-0.6425,-0.27749999999999997,-0.478,-0.374,-0.26249999999999996,-0.0625,-0.10199999999999998,-0.029000000000000026
