m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.2,0.8,0.5,9.432016056618942e-10,0.177,0.1635,0.1685,0.1625
0.2,0.9,0.5,9.432016056618942e-10,0.1455,0.1225,0.134,0.1335
0.3,0.4,0.5,9.432016056618942e-10,0.3325,0.2975,0.3175,0.32
0.3,0.5,0.5,9.432016056618942e-10,0.289,0.264,0.283,0.287
0.3,0.6,0.5,9.432016056618942e-10,0.261,0.236,0.26,0.251
0.3,0.7,0.5,9.432016056618942e-10,0.211,0.2015,0.199,0.191
0.3,0.8,0.5,9.432016056618942e-10,0.1825,0.17,0.1765,0.175
0.3,0.9,0.5,9.432016056618942e-10,0.142,0.1235,0.141,0.1395
0.4,0.5,0.5,9.432016056618942e-10,0.2865,0.263,0.276,0.267
0.4,0.6,0.5,9.432016056618942e-10,0.2445,0.227,0.2425,0.2275
0.4,0.7,0.5,9.432016056618942e-10,0.2185,0.197,0.207,0.2085
0.4,0.8,0.5,9.432016056618942e-10,0.1675,0.1575,0.169,0.173
0.4,0.9,0.5,9.432016056618942e-10,0.1325,0.1265,0.1305,0.123
0.5,0.6,0.5,9.432016056618942e-10,0.247,0.2205,0.229,0.2355
0.5,0.7,0.5,9.432016056618942e-10,0.2035,0.1895,0.207,0.1915
0.5,0.8,0.5,9.432016056618942e-10,0.177,0.17,0.167,0.173
0.5,0.9,0.5,9.432016056618942e-10,0.1385,0.118,0.122,0.115
0.6,0.7,0.5,9.432016056618942e-10,0.207,0.1875,0.206,0.191
0.6,0.8,0.5,9.432016056618942e-10,0.16,0.1445,0.162,0.162
0.6,0.9,0.5,9.432016056618942e-10,0.127,0.0965,0.122,0.114
0.7,0.8,0.5,9.432016056618942e-10,0.157,0.159,0.151,0.1575
0.7,0.9,0.5,9.432016056618942e-10,0.1195,0.1005,0.1075,0.1075
0.8,0.9,0.5,9.432016056618942e-10,0.121,0.1055,0.116,0.1165
0.01,0.02,0.5,9.432016056618942e-10,0.8885,0.6755,0.8365,0.798
0.01,0.03,0.5,9.432016056618942e-10,0.8365,0.629,0.789,0.7365
0.01,0.04,0.5,9.432016056618942e-10,0.8,0.632,0.748,0.728
0.01,0.05,0.5,9.432016056618942e-10,0.7425,0.6,0.713,0.6805
0.01,0.06,0.5,9.432016056618942e-10,0.719,0.599,0.693,0.647
0.01,0.07,0.5,9.432016056618942e-10,0.692,0.5605,0.6525,0.617
0.01,0.08,0.5,9.432016056618942e-10,0.6675,0.553,0.6335,0.6
0.01,0.09,0.5,9.432016056618942e-10,0.6445,0.537,0.6005,0.572
0.02,0.03,0.5,9.432016056618942e-10,0.8325,0.658,0.7795,0.7285
0.02,0.04,0.5,9.432016056618942e-10,0.807,0.6295,0.7495,0.7105
0.02,0.05,0.5,9.432016056618942e-10,0.755,0.5975,0.708,0.6735
0.02,0.06,0.5,9.432016056618942e-10,0.7135,0.5885,0.6835,0.6655
0.02,0.07,0.5,9.432016056618942e-10,0.71,0.571,0.669,0.6505
0.02,0.08,0.5,9.432016056618942e-10,0.6725,0.5645,0.635,0.623
0.02,0.09,0.5,9.432016056618942e-10,0.6265,0.536,0.6055,0.5815
0.03,0.04,0.5,9.432016056618942e-10,0.78,0.619,0.735,0.713
0.03,0.05,0.5,9.432016056618942e-10,0.753,0.591,0.704,0.6745
0.03,0.06,0.5,9.432016056618942e-10,0.719,0.5745,0.681,0.664
0.03,0.07,0.5,9.432016056618942e-10,0.697,0.561,0.662,0.6315
0.03,0.08,0.5,9.432016056618942e-10,0.642,0.5375,0.6185,0.596
0.03,0.09,0.5,9.432016056618942e-10,0.636,0.534,0.615,0.5815
0.04,0.05,0.5,9.432016056618942e-10,0.767,0.599,0.724,0.685
0.04,0.06,0.5,9.432016056618942e-10,0.716,0.606,0.696,0.6595
0.04,0.07,0.5,9.432016056618942e-10,0.6775,0.574,0.6375,0.607
0.04,0.08,0.5,9.432016056618942e-10,0.67,0.55,0.632,0.611
0.04,0.09,0.5,9.432016056618942e-10,0.6295,0.541,0.605,0.5825
0.05,0.06,0.5,9.432016056618942e-10,0.7035,0.5885,0.665,0.6385
0.05,0.07,0.5,9.432016056618942e-10,0.6865,0.569,0.6545,0.6315
0.05,0.08,0.5,9.432016056618942e-10,0.667,0.539,0.635,0.612
0.05,0.09,0.5,9.432016056618942e-10,0.6385,0.532,0.6015,0.575
0.06,0.07,0.5,9.432016056618942e-10,0.6925,0.575,0.672,0.648
0.06,0.08,0.5,9.432016056618942e-10,0.653,0.556,0.6285,0.5985
0.06,0.09,0.5,9.432016056618942e-10,0.629,0.515,0.6145,0.5765
0.07,0.08,0.5,9.432016056618942e-10,0.6885,0.5525,0.647,0.626
0.07,0.09,0.5,9.432016056618942e-10,0.6355,0.5205,0.592,0.58
0.08,0.09,0.5,9.432016056618942e-10,0.6275,0.535,0.616,0.5915
